,sn,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,totalcases_permillion,totaldeaths_permillion,total_tests,totaltests_permillion,population
7,,World,26772849,"-10,664","879,653","+1,319","18,949,618","+53,598","6,943,578","60,911","3,435",112.9,,
0,,North America,7581211,"+7,381","278,699",+582,"4,455,563","+5,769","2,846,949","19,252",,,,
2,,Asia,7551451,"+27,231","149,372",+449,"6,058,302","+19,727","1,343,777","18,932",,,,
1,,South America,6624039,+799,"210,196",+55,"5,234,094","+1,960","1,179,749","15,341",,,,
8,1,USA,6389413,+356,"192,132",+21,"3,636,272",+418,"2,561,009","15,062","19,283",580,"85,899,216","259,239"
9,2,Brazil,4091801,,"125,584",,"3,278,243",,"687,974","8,318","19,226",590,"14,408,116","67,698"
10,3,India,4034339,"+14,100","69,749",+114,"3,112,669","+8,157","851,921","8,944","2,918",50,"47,738,491","34,533"
3,,Europe,3696312,,"209,686",+220,"2,150,356","+25,799","1,336,270","5,930",,,,
4,,Africa,1289913,+96,"30,906",+1,"1,026,053",+181,"232,954","1,418",,,,
11,4,Russia,1020310,"+5,205","17,759",+110,"838,126","+5,379","164,425","2,300","6,991",122,"38,100,000","261,056"
12,5,Peru,676848,,"29,554",,"498,523",,"148,771","1,496","20,478",894,"3,320,012","100,446"
13,6,Colombia,650062,,"20,888",,"498,221",,"130,953","1,493","12,752",410,"2,880,158","56,497"
14,7,South Africa,635078,,"14,678",,"557,818",,"62,582",539,"10,684",247,"3,765,700","63,352"
15,8,Mexico,623090,"+6,196","66,851",+522,"434,667","+4,380","121,572","3,135","4,824",518,"1,409,384","10,911"
16,9,Spain,517133,,"29,418",,N/A,N/A,N/A,976,"11,060",629,"9,210,337","196,979"
17,10,Argentina,461882,,"9,623",,"331,621",,"120,638","2,425","10,203",213,"1,350,038","29,822"
18,11,Chile,418469,,"11,494",,"391,248",,"15,727",932,"21,857",600,"2,540,718","132,706"
19,12,Iran,384666,"+1,894","22,154",+110,"332,131","+1,823","30,381","3,708","4,569",263,"3,355,152","39,856"
20,13,UK,342351,,"41,537",,N/A,N/A,N/A,76,"5,038",611,"17,619,897","259,306"
21,14,Bangladesh,323565,"+1,950","4,447",+35,"217,852","+1,661","101,266",,"1,961",27,"1,617,958","9,807"
22,15,Saudi Arabia,319141,,"4,015",,"295,063",,"20,063","1,484","9,142",115,"5,261,814","150,730"
23,16,France,309156,,"30,724",,"87,206",,"191,226",464,"4,734",471,"8,500,000","130,169"
24,17,Pakistan,298025,+513,"6,340",+5,"282,553",+285,"9,132",535,"1,345",29,"2,732,325","12,328"
25,18,Turkey,276555,,"6,564",,"249,108",,"20,883","1,076","3,273",78,"7,583,200","89,742"
26,19,Italy,274644,,"35,518",,"209,027",,"30,099",121,"4,544",588,"9,034,743","149,469"
27,20,Iraq,252075,,"7,359",,"191,368",,"53,348",495,"6,243",182,"1,694,285","41,961"
28,21,Germany,250281,,"9,401",,"226,208","+1,608","14,672",223,"2,985",112,"12,383,035","147,712"
29,22,Philippines,234570,"+2,529","3,790",+53,"161,668","+1,136","69,112",922,"2,136",35,"2,739,096","24,938"
30,23,Indonesia,190665,"+3,128","7,940",+108,"136,401","+2,220","46,324",,696,29,"2,375,133","8,667"
31,24,Ukraine,133787,"+2,836","2,811",+50,"61,649","+1,036","69,327",177,"3,063",64,"1,673,316","38,304"
32,25,Canada,131124,,"9,141",,"115,926",,"6,057",54,"3,469",242,"5,697,380","150,720"
